age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,degree,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,marital,mode,news,owngun,partyid_3,polviews,pornlaw2,pray,pres08,reborn_r,relig,science_quiz,sex,sibs,social_connect,social_cons3,south,spend3,teensex,tolerance,tvhours,vetyears,wordsum,zodiac
21,Never,4,No,YES,0,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,4,HS,22,Low,LEGAL,VERY HAPPY,No,ALWAYS WRONG,25,Never married,IN-PERSON,EVERYDAY,NO,Ind,SlghtCons,Not illegal to all,NEVER,Obama,No,CATHOLIC,7,Male,2,5,Mod,Nonsouth,Conserv,ALWAYS WRONG,10,3,NONE,5,ARIES
42,Never,4,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,HS,14,Mod,LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,23,Married,IN-PERSON,NEVER,NO,Ind,SlghtCons,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,10,Male,1,5,Liberal,Nonsouth,Mod,NOT WRONG AT ALL,13,3,NONE,6,ARIES
70,<Once/yr,1,Yes,YES,3,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Bachelor deg,20,Mod,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,19,Separated,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Liberal,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,4,Female,0,5,Liberal,Nonsouth,Conserv,ALWAYS WRONG,10,3,NONE,6,TAURUS
35,Sev times/yr,2,No,YES,2,ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Junior Coll,34,High,LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,16,Married,IN-PERSON,NEVER,YES,Ind,Moderate,Not illegal to all,ONCE A WEEK,Obama,Yes,CHRISTIAN,7,Female,2,10,Liberal,Nonsouth,Liberal,ALWAYS WRONG,11,3,NONE,6,SCORPIO
24,Sev times/yr,6,No,NO,3,NOT ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,Not allowed,3,<HS,35,Low,NOT LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,5,Separated,IN-PERSON,EVERYDAY,NO,Ind,Moderate,Not illegal to all,LT ONCE A WEEK,Obama,No,CATHOLIC,5,Female,2,4,Mod,Nonsouth,Conserv,ALMST ALWAYS WRG,7,2,NONE,4,SCORPIO
28,Never,1,Yes,YES,2,ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,<HS,21,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,1,Married,IN-PERSON,ONCE A WEEK,NO,Ind,Conserv,Not illegal to all,NEVER,Obama,No,NONE,7,Female,2,5,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,8,3,NONE,3,LIBRA
28,Once/yr,1,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Bachelor deg,33,High,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,16,Never married,IN-PERSON,EVERYDAY,NO,Dem,Liberal,Not illegal to all,ONCE A DAY,Obama,Yes,NONE,7,Female,0,7,Liberal,Nonsouth,Liberal,ALWAYS WRONG,14,3,NONE,7,TAURUS
55,Every wk,2,No,YES,6,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,<HS,26,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,1,Divorced,IN-PERSON,EVERYDAY,NO,Dem,ExtrmLib,Not illegal to all,ONCE A DAY,McCain,No,CATHOLIC,5,Male,4,5,Mod,Nonsouth,Mod,ALWAYS WRONG,11,6,NONE,2,PISCES
36,Never,1,Yes,YES,3,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,35,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,19,Never married,IN-PERSON,NEVER,NO,Dem,Liberal,Not illegal to all,ONCE A DAY,Obama,No,PROTESTANT,6,Female,2,8,Liberal,Nonsouth,Liberal,NOT WRONG AT ALL,12,2,NONE,6,CAPRICORN
28,Never,4,No,YES,4,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,HS,30,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,8,Never married,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,NONE,7,Female,6,4,Liberal,Nonsouth,Conserv,SOMETIMES WRONG,14,3,NONE,5,CAPRICORN
59,>Once/wk,4,Yes,YES,6,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,2,HS,22,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,14,Divorced,IN-PERSON,LESS THAN ONCE WK,NO,Ind,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,4,Female,7,7,Mod,Nonsouth,Liberal,ALWAYS WRONG,5,2,NONE,4,SAGITTARIUS
52,Sev times/yr,3,No,NO,4,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,4,<HS,1,High,NOT LEGAL,NOT TOO HAPPY,Yes,ALWAYS WRONG,18,Never married,OVER THE PHONE,ONCE A WEEK,NO,Ind,ExtrmCons,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,CATHOLIC,6,Male,6,1,Liberal,Nonsouth,Conserv,ALWAYS WRONG,11,2,NONE,2,SAGITTARIUS
35,Once/mo,2,Yes,YES,4,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,1,HS,35,Mod,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,19,Never married,IN-PERSON,LESS THAN ONCE WK,NO,Rep,SlghtLib,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,5,Female,2,4,Liberal,Nonsouth,Liberal,ALWAYS WRONG,4,4,NONE,5,PISCES
36,Every wk,0,No,NO,3,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,HS,18,Low,NOT LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,19,Married,IN-PERSON,EVERYDAY,NO,Rep,Moderate,Not illegal to all,ONCE A WEEK,McCain,No,CATHOLIC,8,Male,5,10,Mod,Nonsouth,Conserv,ALWAYS WRONG,11,2,NONE,2,GEMINI
47,2-3 times /mo,3,Yes,YES,5,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,HS,29,Mod,LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,18,Divorced,IN-PERSON,ONCE A WEEK,NO,Ind,Conserv,Not illegal to all,ONCE A DAY,Obama,Yes,PROTESTANT,6,Female,2,4,Liberal,Nonsouth,Liberal,ALWAYS WRONG,10,3,NONE,5,GEMINI
18,Once/yr,3,No,YES,0,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,HS,24,Low,LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,14,Never married,IN-PERSON,LESS THAN ONCE WK,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,CATHOLIC,8,Female,3,5,Mod,Nonsouth,Conserv,ALWAYS WRONG,10,5,NONE,5,PISCES
76,Every wk,5,No,NO,8,ALLOWED,ALLOWED,FIRED,ALLOWED,NOT ALLOWED,"Yes, allowed",1,<HS,35,Mod,NOT LEGAL,NOT TOO HAPPY,Yes,ALWAYS WRONG,10,Separated,IN-PERSON,NEVER,NO,Dem,ExtrmCons,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,CATHOLIC,3,Female,10,0,Conserv,Nonsouth,Liberal,ALWAYS WRONG,9,5,NONE,4,LEO
39,Sev times/yr,7,No,NO,1,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,4,<HS,22,Mod,NOT LEGAL,PRETTY HAPPY,Yes,ALWAYS WRONG,18,Never married,IN-PERSON,ONCE A WEEK,NO,Dem,ExtrmCons,Not illegal to all,ONCE A DAY,Obama,Yes,CATHOLIC,6,Male,6,5,Conserv,Nonsouth,Conserv,ALWAYS WRONG,8,3,NONE,4,TAURUS
54,Every wk,2,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Junior Coll,17,Mod,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,22,Married,OVER THE PHONE,ONCE A WEEK,YES,Ind,Conserv,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,8,Male,1,6,Liberal,Nonsouth,Conserv,ALWAYS WRONG,12,3,NONE,7,TAURUS
45,Once/yr,5,No,NO,2,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,Junior Coll,11,Low,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,24,Married,IN-PERSON,LESS THAN ONCE WK,NO,Ind,Liberal,Illegal to all,ONCE A DAY,Obama,No,NONE,5,Female,3,8,Conserv,Nonsouth,Mod,ALWAYS WRONG,12,0,NONE,3,LIBRA
71,Every wk,6,No,YES,2,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,1,HS,3,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,23,Married,IN-PERSON,EVERYDAY,YES,Rep,SlghtCons,Illegal to all,ONCE A DAY,McCain,Yes,PROTESTANT,6,Male,1,2,Conserv,Nonsouth,Conserv,ALWAYS WRONG,6,2,NONE,7,PISCES
42,2-3 times /mo,2,No,NO,2,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Bachelor deg,13,Low,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,22,Married,OVER THE PHONE,NEVER,NO,Dem,Moderate,Not illegal to all,ONCE A DAY,McCain,No,ORTHODOX-CHRISTIAN,6,Female,0,7,Mod,Nonsouth,Liberal,SOMETIMES WRONG,12,3,NONE,7,SCORPIO
81,Nrly evry wk,1,Yes,YES,3,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,Bachelor deg,11,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,18,Widowed,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Moderate,Not illegal to all,ONCE A DAY,Obama,No,CATHOLIC,8,Female,2,3,Liberal,Nonsouth,Liberal,ALWAYS WRONG,12,4,NONE,9,SAGITTARIUS
78,Every wk,2,No,YES,0,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,4,Bachelor deg,1,Low,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,21,Never married,IN-PERSON,EVERYDAY,NO,Ind,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,No,CATHOLIC,5,Male,2,3,Conserv,Nonsouth,Conserv,ALWAYS WRONG,1,3,2 TO 4 YEARS,6,CANCER
63,Every wk,2,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Junior Coll,22,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,19,Divorced,IN-PERSON,EVERYDAY,NO,Dem,Liberal,Illegal to all,ONCE A DAY,Obama,No,CATHOLIC,7,Female,5,5,Liberal,Nonsouth,Liberal,ALWAYS WRONG,11,4,NONE,6,VIRGO
73,Never,0,No,YES,0,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,Graduate deg,35,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Married,OVER THE PHONE,EVERYDAY,NO,Dem,Liberal,Illegal to all,NEVER,Obama,No,NONE,8,Male,0,0,Liberal,Nonsouth,Conserv,ALWAYS WRONG,13,1,NONE,8,CANCER
40,Once/mo,5,No,NO,1,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Bachelor deg,14,Low,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,20,Married,IN-PERSON,NEVER,NO,Ind,SlghtLib,Not illegal to all,SEVERAL TIMES A WEEK,Obama,No,HINDUISM,8,Male,4,7,Liberal,Nonsouth,Conserv,ALWAYS WRONG,12,2,NONE,5,SCORPIO
42,Once/mo,1,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,1,HS,15,Low,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,20,Married,IN-PERSON,ONCE A WEEK,NO,Ind,SlghtCons,Not illegal to all,SEVERAL TIMES A DAY,McCain,No,CATHOLIC,5,Female,1,8,Mod,Nonsouth,Liberal,ALWAYS WRONG,9,3,NONE,4,SAGITTARIUS
62,Every wk,1,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Graduate deg,33,High,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,20,Divorced,IN-PERSON,FEW TIMES A WEEK,YES,Ind,Liberal,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,8,Male,1,4,Liberal,Nonsouth,Conserv,ALWAYS WRONG,14,3,NONE,7,SCORPIO
52,Never,2,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,HS,16,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,22,Divorced,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,PROTESTANT,6,Male,5,2,Liberal,Nonsouth,Mod,NOT WRONG AT ALL,14,5,2 TO 4 YEARS,3,ARIES
49,2-3 times /mo,3,Yes,YES,0,NOT ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,Not allowed,3,HS,35,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,18,Never married,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,3,Female,2,8,Conserv,Nonsouth,Conserv,ALWAYS WRONG,10,16,NONE,4,VIRGO
27,Never,1,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,"Yes, allowed",2,Bachelor deg,27,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,16,Never married,OVER THE PHONE,EVERYDAY,NO,Dem,Liberal,Not illegal to all,NEVER,Obama,No,NONE,8,Female,2,8,Liberal,Nonsouth,Conserv,SOMETIMES WRONG,13,1,NONE,9,LIBRA
29,2-3 times /mo,1,No,NO,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Graduate deg,21,Low,NOT LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,22,Married,IN-PERSON,EVERYDAY,NO,Dem,Liberal,Not illegal to all,ONCE A DAY,Obama,No,HINDUISM,10,Female,1,5,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,14,2,NONE,8,LIBRA
69,Never,0,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,HS,15,Low,NOT LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,23,Divorced,IN-PERSON,EVERYDAY,NO,Dem,SlghtLib,Not illegal to all,NEVER,Obama,No,NONE,4,Female,2,7,Liberal,Nonsouth,Conserv,ALMST ALWAYS WRG,13,2,NONE,6,VIRGO
51,<Once/yr,3,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Graduate deg,21,Low,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,25,Divorced,OVER THE PHONE,EVERYDAY,NO,Ind,SlghtCons,Not illegal to all,LT ONCE A WEEK,Obama,No,JEWISH,6,Female,1,8,Mod,Nonsouth,Mod,SOMETIMES WRONG,12,2,NONE,7,CAPRICORN
44,Once/yr,1,No,YES,2,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,10,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Married,OVER THE PHONE,EVERYDAY,NO,Rep,SlghtCons,Not illegal to all,LT ONCE A WEEK,Obama,No,JEWISH,8,Male,2,6,Liberal,Nonsouth,Mod,ALWAYS WRONG,10,2,NONE,7,CANCER
73,Once/yr,2,No,YES,3,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,Bachelor deg,8,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,25,Married,IN-PERSON,EVERYDAY,NO,Rep,Moderate,Not illegal to all,SEVERAL TIMES A DAY,McCain,No,JEWISH,7,Female,0,4,Liberal,Nonsouth,Conserv,ALWAYS WRONG,10,2,NONE,8,GEMINI
68,Never,1,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,Graduate deg,2,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Married,OVER THE PHONE,EVERYDAY,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,JEWISH,5,Male,2,6,Liberal,Nonsouth,Conserv,ALWAYS WRONG,12,4,NONE,9,VIRGO
84,Every wk,2,No,YES,4,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,22,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,20,Divorced,IN-PERSON,EVERYDAY,NO,Ind,Liberal,Not illegal to all,ONCE A DAY,Obama,No,PROTESTANT,6,Female,1,4,Liberal,Nonsouth,Liberal,ALMST ALWAYS WRG,13,2,NONE,10,LEO
63,Never,2,No,YES,1,ALLOWED,ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,"Yes, allowed",1,Graduate deg,17,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Divorced,IN-PERSON,EVERYDAY,NO,Ind,Moderate,Not illegal to all,NEVER,McCain,No,NONE,9,Male,2,6,Liberal,Nonsouth,Conserv,ALWAYS WRONG,9,2,NONE,8,PISCES
45,Once/yr,2,No,NO,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Graduate deg,26,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Married,IN-PERSON,FEW TIMES A WEEK,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,NONE,7,Female,0,2,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,14,1,NONE,10,LEO
38,Once/yr,1,No,YES,1,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Junior Coll,34,Low,LEGAL,VERY HAPPY,Yes,NOT WRONG AT ALL,24,Never married,IN-PERSON,FEW TIMES A WEEK,YES,Ind,Liberal,Illegal to all,SEVERAL TIMES A WEEK,Obama,No,NONE,7,Male,10,3,Mod,Nonsouth,Conserv,ALWAYS WRONG,11,2,NONE,7,AQUARIUS
46,Once/mo,3,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Graduate deg,28,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Married,IN-PERSON,EVERYDAY,NO,Ind,SlghtLib,Not illegal to all,LT ONCE A WEEK,Obama,No,JEWISH,7,Male,2,5,Liberal,Nonsouth,Liberal,ALWAYS WRONG,14,1,NONE,9,SCORPIO
41,2-3 times /mo,1,Yes,NO,1,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,HS,29,High,LEGAL,PRETTY HAPPY,Yes,ALWAYS WRONG,17,Married,IN-PERSON,LESS THAN ONCE WK,NO,Dem,Moderate,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,6,Female,3,3,Mod,Nonsouth,Conserv,ALWAYS WRONG,4,4,NONE,5,AQUARIUS
75,<Once/yr,1,Yes,YES,3,ALLOWED,ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,2,HS,25,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,15,Divorced,IN-PERSON,NEVER,NO,Dem,SlghtLib,Not illegal to all,ONCE A WEEK,Obama,No,PROTESTANT,5,Female,2,3,Liberal,Nonsouth,Liberal,ALWAYS WRONG,9,24,NONE,4,LIBRA
81,Never,1,Yes,NO,5,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,<HS,28,High,LEGAL,PRETTY HAPPY,Yes,ALWAYS WRONG,8,Never married,IN-PERSON,ONCE A WEEK,NO,Dem,SlghtCons,Illegal to all,SEVERAL TIMES A WEEK,Obama,Yes,CHRISTIAN,3,Female,5,4,Mod,Nonsouth,Liberal,ALWAYS WRONG,12,3,NONE,5,PISCES
41,Every wk,4,No,NO,6,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,NOT ALLOWED,Not allowed,4,<HS,32,High,NOT LEGAL,VERY HAPPY,Yes,ALWAYS WRONG,24,Married,IN-PERSON,LESS THAN ONCE WK,NO,Ind,Conserv,Illegal to all,SEVERAL TIMES A WEEK,McCain,Yes,PROTESTANT,2,Female,7,1,Mod,Nonsouth,Conserv,ALMST ALWAYS WRG,5,0,NONE,4,VIRGO
67,Once/mo,1,Yes,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Graduate deg,25,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,20,Widowed,OVER THE PHONE,EVERYDAY,NO,Dem,Moderate,Not illegal to all,ONCE A DAY,Obama,No,CHRISTIAN,6,Female,4,4,Liberal,Nonsouth,Conserv,ALWAYS WRONG,9,5,NONE,6,SAGITTARIUS
71,Every wk,3,Yes,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,Graduate deg,18,High,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,15,Widowed,IN-PERSON,ONCE A WEEK,NO,Dem,Moderate,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,6,Male,15,5,Mod,Nonsouth,Liberal,ALWAYS WRONG,10,7,NONE,6,ARIES
35,Never,3,No,NO,2,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,"Yes, allowed",3,<HS,29,Low,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,10,Married,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,MOSLEM/ISLAM,4,Male,4,2,Conserv,Nonsouth,Liberal,ALWAYS WRONG,4,5,NONE,4,SAGITTARIUS
45,Nrly evry wk,4,Yes,YES,1,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",4,Bachelor deg,22,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,18,Never married,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Moderate,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,CATHOLIC,9,Female,3,5,Liberal,Nonsouth,Mod,ALWAYS WRONG,12,3,NONE,8,CAPRICORN
35,Nrly evry wk,4,Yes,NO,2,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,23,High,NOT LEGAL,NOT TOO HAPPY,No,ALWAYS WRONG,21,Married,IN-PERSON,LESS THAN ONCE WK,NO,Dem,Conserv,Not illegal to all,ONCE A DAY,Obama,Yes,PROTESTANT,5,Male,6,1,Mod,Nonsouth,Liberal,ALWAYS WRONG,3,5,NONE,6,LEO
21,Nrly evry wk,2,Yes,YES,0,ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,1,HS,35,Mod,LEGAL,NOT TOO HAPPY,No,ALWAYS WRONG,15,Never married,IN-PERSON,FEW TIMES A WEEK,NO,Ind,Conserv,Not illegal to all,ONCE A DAY,Obama,No,PROTESTANT,7,Female,1,5,Mod,Nonsouth,Liberal,ALWAYS WRONG,7,7,NONE,4,LIBRA
49,Once/mo,2,Yes,YES,1,NOT ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,Bachelor deg,24,High,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,20,Never married,IN-PERSON,LESS THAN ONCE WK,NO,Dem,SlghtLib,Not illegal to all,ONCE A DAY,Obama,Yes,PROTESTANT,4,Female,1,7,Mod,Nonsouth,Conserv,ALWAYS WRONG,8,3,NONE,7,SCORPIO
46,Never,0,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,Bachelor deg,35,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,21,Never married,IN-PERSON,EVERYDAY,NO,Ind,ExtrmLib,Not illegal to all,NEVER,Obama,No,NONE,6,Male,2,9,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,13,0,NONE,10,SAGITTARIUS
51,2-3 times /mo,1,No,YES,2,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,HS,22,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,16,Widowed,IN-PERSON,EVERYDAY,NO,Ind,ExtrmLib,Not illegal to all,ONCE A DAY,Obama,No,CATHOLIC,7,Female,0,6,Liberal,Nonsouth,Mod,ALWAYS WRONG,4,3,NONE,7,LIBRA
28,Once/yr,1,No,NO,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Bachelor deg,19,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,23,Never married,IN-PERSON,EVERYDAY,NO,Dem,SlghtLib,Not illegal to all,NEVER,Obama,No,NONE,7,Male,1,10,Liberal,Nonsouth,Conserv,SOMETIMES WRONG,14,3,NONE,7,CANCER
81,Every wk,1,No,YES,3,NOT ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Graduate deg,9,Low,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,23,Widowed,IN-PERSON,EVERYDAY,NO,Rep,Liberal,Illegal to all,SEVERAL TIMES A DAY,McCain,No,PROTESTANT,7,Female,0,6,Liberal,Nonsouth,Mod,ALWAYS WRONG,5,1,NONE,9,CAPRICORN
46,Sev times/yr,0,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Bachelor deg,7,Low,LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,25,Married,IN-PERSON,EVERYDAY,NO,Ind,Moderate,Not illegal to all,ONCE A DAY,Obama,No,NONE,8,Male,3,5,Liberal,Nonsouth,Mod,ALWAYS WRONG,14,1,NONE,10,SAGITTARIUS
