age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,degree,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,marital,mode,news,owngun,partyid_3,polviews,pornlaw2,pray,pres08,reborn_r,relig,science_quiz,sex,sibs,social_connect,social_cons3,south,spend3,teensex,tolerance,tvhours,vetyears,wordsum,zodiac
41,Every wk,1,No,YES,3,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Graduate deg,27,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,25,Married,IN-PERSON,NEVER,NO,Dem,SlghtLib,Not illegal to all,ONCE A DAY,Obama,No,CATHOLIC,6,Female,1,9,Liberal,Nonsouth,Conserv,ALMST ALWAYS WRG,11,1,NONE,6,PISCES
42,Every wk,1,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,HS,7,Low,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,20,Married,IN-PERSON,EVERYDAY,NO,Rep,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,6,Female,3,3,Mod,Nonsouth,Conserv,ALWAYS WRONG,8,2,NONE,8,TAURUS
31,Once/yr,2,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,1,HS,35,Mod,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,18,Married,IN-PERSON,ONCE A WEEK,NO,Ind,Moderate,Not illegal to all,LT ONCE A WEEK,McCain,No,NONE,7,Female,4,3,Liberal,Nonsouth,Mod,SOMETIMES WRONG,13,2,NONE,6,PISCES
65,Every wk,1,No,YES,1,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,3,HS,3,Mod,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,20,Married,IN-PERSON,EVERYDAY,NO,Rep,Conserv,Illegal to all,ONCE A DAY,McCain,No,PROTESTANT,3,Male,3,5,Conserv,Nonsouth,Conserv,ALWAYS WRONG,4,2,NONE,6,CANCER
79,Every wk,1,No,YES,4,NOT ALLOWED,ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,30,Mod,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,15,Widowed,IN-PERSON,EVERYDAY,NO,Dem,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,Yes,CATHOLIC,4,Female,0,9,Mod,Nonsouth,Liberal,ALWAYS WRONG,10,4,NONE,8,GEMINI
38,Once/yr,0,No,YES,0,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,Bachelor deg,1,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Never married,IN-PERSON,EVERYDAY,YES,Ind,ExtrmCons,Not illegal to all,LT ONCE A WEEK,Obama,No,NONE,9,Male,6,4,Liberal,Nonsouth,Conserv,ALMST ALWAYS WRG,12,1,NONE,8,SCORPIO
58,Every wk,1,No,YES,1,ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,Graduate deg,1,Mod,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,25,Married,OVER THE PHONE,ONCE A WEEK,YES,Rep,Conserv,Illegal to all,SEVERAL TIMES A DAY,McCain,No,CATHOLIC,8,Male,2,7,Conserv,Nonsouth,Conserv,ALWAYS WRONG,9,2,NONE,7,LIBRA
31,Sev times/yr,1,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,13,Low,NOT LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,23,Married,IN-PERSON,LESS THAN ONCE WK,YES,Rep,Conserv,Not illegal to all,ONCE A WEEK,McCain,No,CATHOLIC,7,Female,2,6,Mod,Nonsouth,Liberal,ALWAYS WRONG,13,1,NONE,9,VIRGO
36,<Once/yr,1,No,YES,2,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,HS,24,Low,NOT LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,19,Widowed,IN-PERSON,LESS THAN ONCE WK,YES,Ind,Moderate,Not illegal to all,LT ONCE A WEEK,McCain,No,CATHOLIC,5,Female,7,2,Mod,Nonsouth,Liberal,NOT WRONG AT ALL,14,2,NONE,9,CANCER
29,Every wk,5,No,YES,3,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,Bachelor deg,33,Mod,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,22,Married,IN-PERSON,EVERYDAY,NO,Dem,Liberal,Illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,6,Female,3,6,Conserv,Nonsouth,Liberal,ALWAYS WRONG,6,5,NONE,5,SCORPIO
